ID,Table,Component_Head,Work,Range,Site,Physical,Sanctioned_Lakh,Upto_Last_Month,Current_Month,Total_Exp,Balance
228,Table 10 - Capacity Building / Awareness,Creation of High tech Nursery,Strengthening of Existing Hi-Tech Nurseries,Raigarh,Hi-tech Nursery Bhelwatikra,1.000,40.00,3978307,0,3978307,21693
229,Table 12 - Casual Labours,Casual Labours,Casual engagement of local villagers,Raigarh,Raigarh Range,5.000,6.39,436218,153715,589933,49067
230,Table 12 - Casual Labours,Casual Labours,Casual engagement of local villagers,Gharghoda,Gharghoda Range,2.000,2.56,255744,0,255744,256
231,Table 12 - Casual Labours,Casual Labours,Casual engagement of local villagers,Tamnar,Tamnar Range,2.000,2.56,255744,0,255744,256
232,Table 12 - Casual Labours,Casual Labours,Casual engagement of local villagers,Kharsia,Kharsiya Range,1.000,1.28,122544,0,122544,5456
233,Table 13 - Protection,Protection - Strike Force & Vehicles,Patrolling (Aug 25 - Mar 26 = 8 months),Raigarh,CG-02-AU-2101,1.000,2.33,225319,0,225319,7681
234,Table 13 - Protection,Protection - Strike Force & Vehicles,Patrolling (Aug 25 - Mar 26 = 8 months),Gharghoda,CG-02-AU-2103,1.000,2.33,227152,0,227152,5848
235,Table 13 - Protection,Protection - Strike Force & Vehicles,Patrolling (Aug 25 - Mar 26 = 8 months),Tamnar,CG-02-AU-2104,1.000,2.33,231684,0,231684,1316
236,Table 13 - Protection,Protection - Strike Force & Vehicles,Patrolling (Aug 25 - Mar 26 = 8 months),Kharsia,CG-02-AU-2102,1.000,2.33,229831,0,229831,3169
237,Table 14 - Other Activities,Covering Open Wells,Covering Open Wells around forest areas,Gharghoda,Gharghoda Range (166 rm),166 rm,5.31,43577,139684,183261,347739
238,Table 14 - Other Activities,Covering Open Wells,Covering Open Wells around forest areas,Kharsia,Kharsia Range (250 rm),250 rm,7.33,123782,0,123782,609218
239,Table 14 - Other Activities,Covering Open Wells,Covering Open Wells around forest areas,Raigarh,Raigarh Range (166 rm),166 rm,5.79,217955,112374,330329,248671
